_id,synthetic_question,synthetic_answer
13123668,What is the maximum number of guests that can stay at Haena Kai?,"The property description mentions that Haena Kai is a three-bedroom home, so it can likely accommodate at least 6 guests, providing a relaxing and private retreat for families or groups seeking tranquility on Kauai's North Shore."
30973353,What is the approximate walking distance to the nearest metro and light rail stations from the property?,Around 5 minutes.
23171144,What amenities are available in the building?,"The building has an outdoor heated resort-style swimming pool, a gym, and secure access."
5862093,What is the size of the apartment?,Approximately 80 square meters.
4609521,What is the maximum number of people the apartment can accommodate?,"The description mentions a queen-sized bed in the bedroom, suggesting the apartment is suitable for two people."
6898449,How many people can this condo accommodate?,The condo can comfortably sleep 6-8 guests.
8035801,What is the maximum occupancy of this property?,The property can accommodate 2 people.
5361777,What is the maximum number of guests allowed in the room?,2
846689,What amenities are provided in the kitchen?,"The kitchen is equipped with a fridge, stove, microwave oven, and other kitchen utensils."
11890476,What type of property is available for booking?,A bedroom in a colonial-style home.
24477058,What amenities are available in the bedrooms?,"The bedrooms feature Queen-sized beds, high-quality bed linen, Australian wool quilts, air conditioning, clothes hangers and covers, full-body mirrors, and built-in wardrobes."
1003530,What amenities are available in the kitchen?,"The kitchen is an eat-in kitchen, and it is equipped with a washer and dryer in the basement."
28680187,What is the closest metro station to the property?,The property is close to both Joanic and Sagrada Familia metro stations.
31326897,What is the proximity of the property to public transportation?,"The property is close to the metro, suggesting easy access to public transportation."
1459741,Is there parking available nearby for this property?,"Yes, there is indoor public parking available for 20$ per day or 10$ after 6 pm."
11695637,How many bedrooms does the apartment have?,2
8598424,What is the maximum number of guests the cottage can accommodate?,"The cottage can accommodate up to 6 guests, with an additional fee for more than 4 guests."
27435788,What type of floor does the apartment have?,The apartment features wooden floors throughout.
31302323,What is the maximum number of people that can stay in the apartment?,"The description does not specify a maximum occupancy, but it does mention that the apartment is suitable for large groups, and multiple apartments can be booked together to accommodate more people."
24340252,What type of bed is in the bedroom?,"The bedroom has a double bed that can be divided into two single beds, each measuring 90cm x 200cm."
15285878,What amenities are available at this ocean front property?,"This property offers a salt water pool, covered lanai, fire pit, and both a main house and guest house for accommodation."
31951516,What kind of view does the apartment offer?,"The apartment offers a view of Barcelona, including the Tibidabo mountain, as it is situated on the top floor of the building."
31045123,What type of person is the host looking for as a flatmate?,The host is looking for a female flatmate who is interested in painting and art.
10140368,What floor is the property on?,The property is on the third floor of a walk-up building.
26798122,What amenities are provided in the bathrooms?,"The bathrooms are equipped with a hair dresser, soap, shampoo, towels, and toilet paper."
4471162,What is the view from the apartment?,The apartment offers a breathtaking 180-degree view of Bondi Beach.
30083901,What beaches are near this property?,"The property is located between Copacabana and Ipanema/Arpoador beaches, with Copacabana beach just 2 blocks away and Ipanema/Arpoador beach about 4 blocks away."
31981770,"What type of property is described as having a ""cozy fireplace"" and ""mountain views""?",A mountain cabin or lodge.
12791827,What is the minimum rental period for this apartment?,The apartment is available for rent for a minimum of 12 months.
24459731,What amenities are available to guests in the shared living room?,Guests have access to a shared living room with a television and Netflix.
8414008,What is the closest MTR station to the property?,Tsim Sha Tsui MTR station.
21871576,What is the neighborhood like?,"The neighborhood is described as vibrant, peaceful, and family-oriented, with a lively atmosphere during rush hour. It is also close to a shopping center, providing easy access to transportation and stores. While it can be quiet at night, there may be some noise due to the location in New York."
17672629,What type of bed is in the apartment?,The apartment features a double bed and a couch that folds out to a single bed.
15748933,What type of property is this listing?,This listing is for a bungalow on a farm.
32541101,What type of property is available for booking?,A private bedroom in a Spanish-style apartment.
17967409,What amenities are offered in the private room?,"The private room offers exclusive use of a main bathroom, separate toilet, and lounge area, as well as shared access to the kitchen, laundry, and outdoor spaces. Guests also have a designated shelf in the fridge and pantry for their food storage."
22224705,What type of bed is in the property?,The property features a double bed in the suite upstairs.
6799814,What is the closest landmark to this property?,Times Square
13530122,What bed size is available in the studio apartment?,Queen-sized bed.
20492711,What amenities are included in the kitchen?,"The kitchen is fully equipped with a large fridge, glass-ceramic hob, microwave, washing and dryer machine, Nespresso machine with included capsules, toaster, and all essential kitchenware and dishes."
7801169,What is the maximum number of people that can comfortably sleep in the East Village studio?,3 people
15943568,What type of plants and trees can guests expect to see on the property?,"The property is located in a rainforest and boasts Ohia Lehua trees, hapu'u giant ferns, white and red anthuriums, roses, hibiscus, and often-blooming trees."
27846336,What amenities are included in the rental fee?,"The rental fee includes complimentary electricity, water, management fees, and internet Wi-Fi access. It also covers a weekly maid service and all necessary appliances such as air conditioning, a TV, fridge, microwave, induction cooker, and kettle."
22496428,What is the maximum number of people that can stay in the apartment?,4 people
20055406,What amenities are available in the building?,"The building has a terrace with a barbecue, a leisure area with a shower, and 24-hour security."
11737940,What universities are near the property?,Marmara University is nearby.
6036714,What type of transportation is available to get to the city from this property?,"The property is accessible to the city by ferry or bus, with a travel time of approximately 10 minutes."
5604994,What amenities are available at the Rouse Hill Town Centre?,"The Rouse Hill Town Centre features shops, cafes, restaurants, a cinema, and is close to a bus stop."
17496002,What is the maximum number of people the apartment can accommodate?,The apartment can accommodate up to 3 people with a king-size bed and a twin air mattress.
23419162,What is the maximum number of people the property can accommodate?,The property can comfortably accommodate up to 6 people.
22878471,What amenities does the property offer for guests who want to relax and enjoy the outdoors?,"The property provides access to a pool, jacuzzi, tennis court, and BBQ area, offering a range of leisure activities for guests to enjoy during their stay."
22823671,What is the maximum number of people this property can accommodate?,2 people.
27820099,What type of bed is in the bedroom?,The apartment has a double bed in the bedroom.
15541887,What amenities are available nearby for guests who enjoy outdoor activities?,"The property is located near a beach, a pool, and offers easy access to activities like fishing, diving, swimming, and surfing. There is also a nearby biking and walking track, as well as a karting track just 30 meters away."
12046370,What is the square footage of the living room?,36 sq m (388 sq ft)
22094381,What amenities are available on the rooftop of the building?,"The rooftop communal terrace offers loungers, tables, and views of the neighborhood and Montjuïc."
30361820,What type of property is described as having a spacious outdoor area with a pool and BBQ facilities?,"A property with a large backyard, swimming pool, and outdoor barbecue setup."
19134150,What type of neighborhood is the property located in?,"The property is located in a vibrant neighborhood in the heart of Williamsburg, known for its young artists, local shops, and restaurants."
15963882,What type of transportation is available on the island?,Fayton and ferry.
2153435,What are some nearby attractions?,"The apartment is close to unique restaurants, shops and sights, all within a couple of blocks."
30693606,What is the approximate size of the condo's balcony?,The balcony is approximately 100 square feet.
1925045,What is the maximum number of people that can stay in this apartment?,6
59066,What is the name of the property?,Honaunau Farm Wellness Retreat
19768051,What is the maximum number of guests that can be accommodated in the property?,The property can accommodate up to 4 guests as it has 3 bedrooms and the living room can be used as a 4th bedroom with a floor mattress setup.
13153996,What is the maximum number of guests that can be accommodated in the apartment?,"The description does not specify a maximum occupancy, but with two bedrooms, it can likely accommodate up to 4 guests."
13778742,What is the maximum number of people that can be accommodated in the apartment?,4 people
6785160,What amenities are available in the private sitting room?,"The private sitting room includes a sofa, kettle, bar fridge, and toaster."
18721645,What amenities are included in the cleaning fee?,"The cleaning fee includes departure cleaning, accidental damage protection, and a reservation fee."
13927034,What shopping center is near the property?,The property is located next to Norte Shopping.
10459480,What is the minimum stay required for this property?,The minimum stay is five nights.
28002020,What is the closest MTR station to this property?,The property is a 2-minute walk from an MTR station.
14462759,What is the minimum length of stay at this property?,"The property is only available for long-term rentals, so the minimum length of stay is 32 days."
16112187,What amenities are provided in the kitchen?,"The kitchen is equipped with a cooktop, liquid blender, wine cellar, espresso machine, microwave, electric sandwich maker, and kitchen utensils."
28515788,What is the view from the property's private deck?,The private deck offers a view of Maui's life from morning to evening.
31827679,What is the room's proximity to the beach?,The room is a 5-minute walk from the beach.
2351455,How many bedrooms does the property have?,3
16241397,What outdoor amenities are available at this property?,The property features a terrace with a barbecue and a view of the Galata Tower.
30258594,What is the price range of the rooms?,"The rooms are typically rented out from HK$5,000 to HK$8,500 per month, but are now available at almost half price."
17342261,What is the neighborhood like for this property?,"The property is located in the heart of Nolita, surrounded by downtown New York's vibrant culture, including markets, bars, restaurants, and parks. It is also close to other popular neighborhoods like Soho, LES, and Tribeca."
29302836,What type of view can you expect from this apartment?,The apartment faces south western and overlooks a typical patio of Barcelona.
5624887,What type of floor does the apartment have?,The apartment has beautiful modernist tiled floors.
28301490,What is the Pierre Loti Hotel's proximity to major tourist attractions in Sultanahmet?,"The Pierre Loti Hotel is within walking distance of many popular historical sites in Sultanahmet, including St. Sophia, The Blue Mosque, The Cistern Basilica, Topkapi Palace, The Grand Bazaar, and the Spice Bazaar."
3891064,What is the maximum number of guests that can stay at this property?,12
21992735,What is the closest attraction to the property?,"The property is located in the Gothic Quarter (Barrio Gótico) of Barcelona's historic center, which is known for its medieval architecture, charming squares, and vibrant atmosphere."
220946,What is the apartment's proximity to restaurants and nightlife?,"The apartment is surrounded by some of Manhattan's best eateries, boutiques, and nightlife, with exceptional restaurants, bars, and shopping within easy walking distance."
12136725,What type of bed is in the studio?,Queen bed.
26105391,What is the maximum capacity of the apartment?,4 people
9511484,What is the proximity of the apartment to public transportation?,"The apartment is a 2-minute walk from the Mont-Royal street, where bus 97 can take you to the nearest metro station in 10 minutes."
23122981,What type of bed is in the room?,Double bed.
26430039,What type of view can you expect from the property's deck?,The deck offers a filtered view of Pittwater.
19587001,What is the maximum number of people this property can accommodate?,"The property description mentions that there is one house with two units, suggesting that the property can accommodate at least two groups or families, but the exact maximum occupancy is not specified."
23769045,What is the maximum number of people that can stay in this apartment?,4 people
7543508,What is the closest public transport station to the property?,"The property is a 12-minute walk from the Taksim metro station, and there is also a bus stop nearby that can take you to the Historical Peninsula in 20 minutes."
13365785,What amenities are provided in the property?,"The property offers instant hot water, wifi, and a cleaner twice a week. It also provides towels and bedding for guests."
22199234,What is the maximum number of people the apartment can accommodate?,6 people
8402207,What amenities are available in the room?,"The room includes a Smart TV with remote control, small desk, chair, waste basket, shelving unit, window, quiet fan, fresh sheets, towel, hair dryer, iron, and air conditioner."
11948645,What shopping centre is located nearby?,Recreio Shopping.
14112918,What is the minimum number of nights I can book this property for?,"3 nights, with a possible 7-night minimum between 12/20/17 - 1/4/18."
12189083,What type of bed is available in the apartment?,The apartment offers a full-size bed.
23428550,What type of apartment is available at a budget-friendly price?,A modest and affordable apartment is available for those seeking a cheap and convenient stay.
10083468,What is the location of the Be Happy Apartment?,"The Be Happy Apartment is located in the city center of Porto, on the emblematic street ""Rua do Almada""."
22196878,What type of bed does the property have?,The property has a Queen-sized bed and a double sofa bed.
4906949,What amenities are available in the condo?,"The condo offers a fully equipped kitchen, a bathroom with a separate shower and bathtub, a bedroom with ample storage, an open-concept living and dining area, unlimited internet, a landline phone with unlimited long-distance calls within Quebec, cable TV with access to Club Illico, a dishwasher, a washer and dryer, a fireplace, complete linen, and free parking on the street."
91439,What amenities are available in the kitchen?,"The kitchen is fully furnished with a fridge, stove, cooking plates, coffee maker, toaster, and kettle."
16518377,What is the outdoor space like at this property?,The property features a private 400 square foot patio.
21947380,What amenities are available within walking distance of the property?,"The property is located near a pool, several grocery stores, a gas station, and Avenue du Mont Royal."
30561422,What amenities are nearby this property?,"The property is located near a metro station, the beach, a shopping mall, bars, a bookstore, and restaurants."
31582808,What amenities are provided in the apartment?,"The apartment offers a well-equipped kitchen for simple cooking, wireless internet access, and essential amenities like towels and bed linen."
12814643,What amenities are provided in the kitchen of the studio ohana?,"The kitchen is fully equipped with a fridge, two gas burners, a queen-size bed, linens, and kitchen essentials like eggs, bagels, coffee, and tea."
30520863,What recreational activities are available at the hotel?,"The hotel offers a wide range of recreational activities, including tennis courts, a basketball court, a private beach, an outdoor swimming pool, a Turkish bath, and a sauna. There is also live music every Saturday."
19028601,What type of guests are preferred for this property?,The property owners require respectful guests who are quiet and prefer a good rest.
10423504,How many people can this property accommodate?,Up to 8 people.
9639849,What is the age preference for guests at this property?,The host prefers guests to be over 30 years of age.
32548455,What type of bed is available in the apartment?,The apartment features a Queen size bed.
20455499,How many bedrooms are there in this property?,4
3815305,What is the maximum number of people this apartment is suited for?,4 people.
12401124,What popular tourist attraction is only 100m away from this property?,The famous Clerigos Tower.
7099038,What is the minimum number of nights you can stay at this beach house?,4 nights.
369336,What amenities are provided in the apartment?,"The apartment offers a comfortable bedroom, a full bathroom with a shower, sink, bathtub, and toilet, as well as bed linens and towels. It also has a living room, two bedrooms, a social bathroom, and is located on the 9th floor with internet and cable TV."
9612902,What type of parking is available at this property?,The property offers easy street parking and secure side driveway tandem parking for 3-4 cars.
11442936,What amenities are available for guests to use in the apartment?,"Guests have access to a washing machine, dryer, and a shared backyard."
32338168,What is the maximum number of people this apartment can accommodate?,"This apartment can accommodate a maximum of 4 people, with one double bedroom and a double sofa bed in the living room."
14501655,What is the closest public transport station to the property?,The property is close to the Berri UQAM and Beaudry metro stations.
19469971,What is the atmosphere like in the neighborhood?,"The neighborhood is incredibly pleasant and suitable for both walks and outings, with cafes, bars, and restaurants nearby."
30832921,¿Qué días de la semana está disponible el apartamento?,Los fines de semana.
7032855,What type of bed is in the private room?,The private room has a queen-sized couch bed.
7818456,What type of room is available for booking in this property description?,A large double room.
13461087,What is the maximum number of people that can be accommodated in the apartment?,3 people
21497042,What amenities are provided in the bathroom?,The description mentions that the bathroom has all the necessary bathroom materials available.
14287666,What language is the host able to communicate in?,"The host speaks Spanish, French, English, and Italian."
20792560,What amenities are provided in the bathroom?,The bathroom includes a hair dryer and towels.
20312675,¿Cuántos dormitorios tiene el piso?,Dos dormitorios.
32806919,What amenities are nearby this property?,"This property is conveniently located next to cafes, parks, restaurants, and a bike path, making it an ideal spot for food enthusiasts and those who enjoy outdoor activities."
25187510,What is a unique feature of the property's location?,"The Sonder is located in the Quartier des Spectacles, an area known for its vibrant cultural scene, including the renowned Contemporary Art museum, Place-des-Arts."
13361613,What is the apartment's proximity to Central Park?,"The apartment is close to Central Park, offering easy access to the park's recreational spaces and natural beauty."
16410430,What is the view from the rooftop?,"The rooftop offers a nice view of the city's buildings, providing a great space for chilling and enjoying the urban landscape."
17531493,What type of bed is in the room?,Queen bed.
9887054,What type of property is described as having new renovations and full furniture?,A studio flat.
26486034,What public transportation option is available near the property?,The property is located near a subway station.
12310597,What type of animals can guests expect to see at Tradewinds Ranch?,"Guests will find a variety of farm animals at the ranch, including cows, horses, chickens, ducks, sheep, goats, dogs, cats, and even frogs."
28493488,What amenities are available at this property?,"This property offers a fully equipped kitchen with a dishwasher, oven, washing machine, and dryer, as well as a central heating system and television. It also has a big garden and is pet-friendly, with a resident dog on the premises."
9347161,What is the view from the balcony of the apartment?,"The balcony offers a view of the Christ statue, one of the iconic landmarks of the city."
14253379,What amenities are nearby the property?,"The property is located near a bakery, bar, pharmacy, and newsstand. It also has easy access to public transportation, with a BRT stop right outside."
423275,What amenities are available in the living room?,The living room has an A.C. unit and speakers for your iPhone.
21519013,What is the location of the property?,"The property is located in Kaimuki, Honolulu."
15889399,What amenities are available in the cabin's kitchenette?,"The kitchenette is equipped with a bar fridge, microwave, kettle, and toaster."
29262781,What type of floor does the property have?,Dark hardwood floors.
14037885,What type of flooring is in the property?,The property features cherry wood flooring.
17319927,What is the distance to the beach from this property?,"The property is approximately 500 meters from Bondi Beach, offering a short walk to the beachfront."
7773322,What size bed is in the room?,Queen sized bed.
30323119,What is the proximity of the property to public transportation?,"The property is conveniently located within a 250m walk from Ashfield Train Station, and bus stops are right at the doorstep, providing easy access to USYD and UTS. It's also only a 10-minute express train ride to the Sydney CBD."
12551469,What is the maximum number of people the property can accommodate?,"The property can accommodate two people, as it has a double bed."
30239555,What type of entertainment is available in the flat?,"The flat offers a large smart TV with Netflix subscription, allowing guests to relax and enjoy movies or TV shows from the comfort of their bed."
15341505,What unique feature does this property offer for guests who want to relax and enjoy a private retreat?,"The property boasts an amazing swimming pool and a lovely garden with breathtaking views over Barcelona, providing a peaceful and secluded experience."
20254510,What type of neighborhood is the apartment located in?,"The apartment is located in a quiet, family-oriented neighborhood."
11080033,What public transportation is easily accessible from the property?,"The property is just a 2-minute walk from the Atwater metro station and bus lines 150, 350, 358, 360, and 368."
266879,What amenities are provided in the room?,"The room includes a bed, wardrobe, clean sheets, a comfy pillow, and a goose quill blanket."
23510317,What is the maximum number of people the loft can accommodate?,4
1047087,What type of bed is in the loft bedroom?,Queen-sized bed.
26414600,What is the maximum number of people that can stay in the apartment?,4 people
6358160,What type of flooring does the property have?,The flat has wood floors throughout.
482765,What type of bed is in the guest bedroom?,A queen-size bed with a memory-foam mattress.
27498126,What type of bed does the property description mention?,Queen bed.
13479450,What public transportation is available near the property?,The property is a short walk to the L Train Bedford stop.
5993432,What is the closest public transportation option to the apartment?,"The train station is just 300m away, offering easy access to Sydney's public transport network."
25173285,What amenities are available in the apartment?,"The apartment is fully furnished with a double bed, wardrobe, desk and chair, air-conditioning, refrigerator, microwave, hot plate, and WIFI internet."
2814931,What is the general atmosphere of the neighborhood where the property is located?,"The South Bronx area is described as quiet and peaceful, a nice change of pace from the hustle and bustle of New York City."
21362635,What is the closest major city to the Azur Lodge Beach House?,Porto
30507309,What is the closest public transportation option to the apartment?,"The bus stop is right in front of the apartment, with bus lines 165 and 166 available."
5194434,What type of events can be hosted at this property?,"The property can host events such as yoga retreats, business retreats, and weddings, both small and large."
13591144,What is the maximum number of people that can stay at this property?,"The property can accommodate at least 8 people, with 4 bedrooms that can sleep 2 people each and an additional spare mattress that can be provided upon request."
1284892,What amenities are provided in the kitchen?,The kitchen is super equipped and includes a washing machine.
7859077,What is the maximum number of people this property can accommodate?,"The Zen Lite property can accommodate a couple or a single traveler, so the maximum occupancy is 2 people."
13997910,Who is the property suitable for?,"The property is suitable for couples, business travelers, and families with children."
17546959,Is this property suitable for a family with children?,"No, the property description suggests that it is more suited for couples, solo adventurers, and business travelers."
21704747,What type of transportation is available near the apartment?,"Public buses are available right outside the building, providing direct access to the CBD."
23026295,What is the maximum number of guests that can stay in the room?,2
31002017,What is the maximum number of people that can stay at this property?,2 people
4798749,What amenities are available in the property?,"The property includes a TV with cable, wi-fi, a washing machine, and a closet."
1127954,What is the maximum number of people the apartment can accommodate?,"The apartment is suitable for a couple, so it can accommodate a maximum of 2 people."
9200371,How many people can this apartment accommodate?,"The apartment can accommodate up to 8 people with two double beds, a sofa bed for two, and the possibility of an extra mattress in the bedroom."
21111727,What amenities are provided for guests in this Montreal Victorian townhouse?,"Guests are provided with high-speed wifi, fresh towels, and linens."
26344088,What hiking trail is the property near?,The property is a 10-minute walk from the MacLehose Trail.
23621554,What is the proximity of Art Nouveau Galata to the Galata Tower?,"Art Nouveau Galata is within walking distance of the Galata Tower, making it an ideal location for those who want to explore the historical tower and the surrounding cafes, restaurants, and entertainment venues."
18569613,What type of internet connection is provided for business travelers?,High speed internet is provided for business travelers.
18467111,What public transportation option is available near the property?,"The property is located near the Mong Kok (旺角) metro station, which is a 5-minute walk away."
23209370,What public transportation options are available near the property?,The property is located near the Jean-Talon metro station on the NS line and the Fabre metro station on the EO line.
462902,What amenities are available in the shared kitchen and TV room?,"The shared kitchen and TV room offers a sauna, pool, and barbecue facilities."
5464028,What amenities are available in the building?,"The building offers a swimming pool, sauna, BBQ grills, and covered parking. It also has a gym, but its use is not guaranteed."
29508303,What type of view can you expect from this property?,The property offers a view of a quiet street.
19080306,What type of entertainment is available nearby for children?,There are parks with different entertainment options for children within an 8-minute walk.
19587471,What is the parking situation at this property?,"The property offers a garage for safe and comfortable parking, as well as private parking for guests' vehicles."
9256784,What is the price per night for this property?,"The property is currently running a summer special rate of $145 per night, tax included."
19853110,"What is the name of the hotel that offers a hot tub, Turkish bath, and air-conditioned rooms with LCD TV?",Hotel Sorriso.
29856236,What amenities are located within the shopping centers near the property?,"The shopping centers near the property offer a variety of amenities, including a pharmacy, restaurants, bakery, lottery, and a bank."
18160399,What type of bed is in the second bedroom?,A single bed with drawers.
26263470,What is the approximate travel time to Waikiki and Ala Moana from the property?,20-25 minutes by car.
2152426,What is the maximum number of people the terrace can accommodate?,12 people
28881873,What type of bed is in the apartment?,The apartment has a Queen size bed.
2482036,What type of neighborhood is the property located in?,"The property is located in a charming, family-friendly, and safe neighborhood with a tree-lined block."
2758817,What is the maximum number of people the apartment can accommodate?,2 people
18700419,What type of public transportation is available within a 5-minute walk from the property?,"The property is easily accessible to various forms of public transport, including MTR (subway), KCR (train), buses, minibuses, and taxis, all within a 5-minute walk."
15816930,What amenities are available for guests to use at this property?,"Guests can use the kitchen, smart TV in the living room, and the rooftop."
2315341,What amenities are included in the property listing?,"The property includes access to a washing machine, laundry room, kitchen, dining area, and Wi-Fi."
1176693,What is the distance to the nearest MTR station?,The Causeway Bay MTR station is less than a 2-minute walk away.
15031608,Qual é a distância do Quarto das Laranjeiras para o rio Douro e as praias do Atlântico?,O quarto fica a 100 metros da foz do rio Douro e das praias no Atlântico.
440924,What is the maximum number of people the condo can accommodate?,The condo can sleep 6-8 people.
2278444,What is the maximum number of people that can be accommodated in the bedrooms?,Two people per room.
21563508,What is the maximum number of people that can be accommodated in the apartment?,4 people.
1410802,What is the maximum number of people that can stay at this property?,10 people.
6262269,What is the maximum number of people that can sleep in this property?,4
32958737,What amenities are offered in the kitchen?,The kitchen includes a dishwasher.
28598597,What is the maximum number of people that can stay in this apartment?,"The description does not specify a maximum number of guests, but it does mention a private bathroom and a small balcony, suggesting it may be suitable for a small group or a couple."
16498853,What public transportation options are available near the apartment?,The apartment is close to a bus station and a 15-minute walk from two subway stations.
11095139,Which station is the property located near?,Jordan Station
8341415,What is the maximum number of people that can comfortably sleep in the property?,8 people.
28345462,What amenities are available at the property for entertainment and leisure?,"The property offers a range of entertainment and leisure options, including access to 3 pools, numerous tennis courts, BBQ grills, and high-speed WiFi. Guests can enjoy watching movies and TV shows on the large smart TVs, with various streaming services and HBO channels available. There is also a Blu-Ray DVD player provided."
15877524,What is the parking situation at this property?,"The property offers one street parking permit, and all-day parking is available within a few minutes' walk."
31408169,What is the maximum number of guests the host can accommodate in the apartment?,"The host can accommodate up to 5 guests, with 2 guests in the listed room, 2 guests in the other available room, and 1 extra person on the sofa bed."
5469770,What type of bed is in the bedroom?,A single bed.
3173305,What type of bed is in the bedroom?,Orthopedic double bed.
14930875,What is the location of the property in relation to Porto's art district?,"The property is located in the center of Porto, nearby the art district."
25937713,What amenities are provided for guests at this property?,"The property offers a range of amenities, including a fully equipped kitchen with dinnerware, comfortable beds with linens, high-speed WiFi, a Smart TV, and access to a gym in the building. Guests will also have access to a laundry room 24/7."
23364269,What is the distance to the nearest beach from this property?,Coogee Beach is approximately 15 minutes away from the apartment.
